,Date,Timestamp,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer
,,,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure
,,,ethereum,Total,ethereum,ethereum,ethereum,Total,Total,Total,ethereum,ethereum,ethereum,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH
,15/08/2023,1692057600,86685648.27483872,86685648.27483872,27657355.44643249,28954043.0025556,30074249.825850632,27657355.44643249,28954043.0025556,30074249.825850632,15003.040736896844,14999.99637488828,14999.999913140293,15003.040736896844,14999.99637488828,14999.999913140293
,16/08/2023,1692144000,85938338.3948011,85938338.3948011,27423641.434270106,28714649.690652024,29800047.269878972,27423641.434270106,28714649.690652024,29800047.269878972,15001.66376789901,14999.999838402362,14999.998625780312,15001.66376789901,14999.999838402362,14999.998625780312
,17/08/2023,1692230400,84038826.32020934,84038826.32020934,26806745.349090993,28122484.50677866,29109596.46433969,26806745.349090993,28122484.50677866,29109596.46433969,15002.655780776244,14999.938398358614,14999.998178095724,15002.655780776244,14999.938398358614,14999.998178095724
,18/08/2023,1692316800,79363634.60276163,79363634.60276163,25308895.66956926,26554791.51603669,27499947.417155664,25308895.66956926,26554791.51603669,27499947.417155664,15002.309229145976,14999.995207666801,14999.998591173257,15002.309229145976,14999.995207666801,14999.998591173257
,19/08/2023,1692403200,78469202.77507687,78469202.77507687,25028110.8404565,26179194.495106623,27261897.439513747,25028110.8404565,26179194.495106623,27261897.439513747,15004.502793971667,14999.99684583942,14999.998591173257,15004.502793971667,14999.99684583942,14999.998591173257
,20/08/2023,1692489600,78690842.27604139,78690842.27604139,25098544.750045955,26276547.556817953,27315749.969177485,25098544.750045955,26276547.556817953,27315749.969177485,15005.527107200653,14999.998605306606,14999.999983074316,15005.527107200653,14999.998605306606,14999.999983074316
,21/08/2023,1692576000,79120605.59789218,79120605.59789218,25219472.111091826,26414400,27486733.48680036,25219472.111091826,26414400,27486733.48680036,14999.983412295145,15000,14999.990988458272,14999.983412295145,15000,14999.990988458272
,22/08/2023,1692662400,78459103.7224162,78459103.7224162,25013179.0116773,26169635.522647303,27276289.188091613,25013179.0116773,26169635.522647303,27276289.188091613,15001.576741621417,14991.856920953549,14999.994054229282,15001.576741621417,14991.856920953549,14999.994054229282
,23/08/2023,1692748800,235555035.69221845,235555035.69221845,163084993.27878252,36953533.59876986,35516508.814666055,163084993.27878252,36953533.59876986,35516508.814666055,99999.99587870284,21603.431430290937,19917.288478390565,99999.99587870284,21603.431430290937,19917.288478390565
,24/08/2023,1692835200,242266369.5482938,242266369.5482938,168182763.46352413,37704678.678989284,36378927.40578037,168182763.46352413,37704678.678989284,36378927.40578037,100008.7789969103,21402.440074353908,19917.288478390565,100008.7789969103,21402.440074353908,19917.288478390565
